mutant_id,description,detected,scenario_ids_that_caught_it,f1_delta_vs_b2
M01,Remove minimum amount check,true,S079::amount-minus001;S079::amount-minus1;S082::amount-minus001;S082::amount-minus1;S082::amount-plus001;S082::currency-usd;S082::extra-field,-0.004239854633555362
M02,Remove maximum amount check,true,S010::amount-plus001;S010::amount-plus1;S080::amount-plus001;S080::amount-plus1;S081::amount-minus001;S081::amount-plus001;S081::amount-plus1;S081::currency-usd;S081::extra-field;S084::amount-plus001;S084::amount-plus1;S085::amount-minus001;S085::amount-plus001;S085::amount-plus1;S085::currency-usd;S085::extra-field,-0.00974421437271622
M03,Ignore missing required parameters (fail-open),true,S008::missing-amount;S008::missing-currency;S009::missing-amount;S009::missing-currency;S010::missing-amount;S010::missing-currency;S011::missing-path;S012::missing-path;S013::missing-path;S014::missing-path;S015::missing-path;S016::missing-path;S017::missing-path;S018::missing-path;S019::missing-path;S020::missing-path;S069::missing-amount;S069::missing-currency;S070::missing-amount;S070::missing-currency;S071::missing-amount;S071::missing-currency;S072::missing-amount;S072::missing-currency;S073::missing-amount;S074::missing-amount;S075::missing-amount;S076::currency-empty;S076::currency-gbp;S076::currency-lower;S076::currency-usd;S076::extra-field;S076::missing-currency;S076::null-currency;S077::amount-max;S077::amount-minus001;S077::amount-minus1;S077::amount-plus001;S077::amount-plus1;S077::amount-zero;S077::extra-field;S077::missing-amount;S078::missing-amount;S078::missing-currency;S079::missing-amount;S079::missing-currency;S080::missing-amount;S080::missing-currency;S081::missing-amount;S082::missing-amount;S083::missing-amount;S083::missing-currency;S084::missing-amount;S084::missing-currency;S085::missing-amount;S093::missing-path;S094::missing-path;S095::missing-path;S096::missing-path;S097::missing-path;S098::missing-path;S099::missing-path;S100::missing-path;S101::missing-path;S102::missing-path;S103::missing-path;S104::missing-path;S105::missing-path;S112::extra-field;S113::missing-path;S114::missing-path;S116::missing-amount;S116::missing-currency;S117::missing-amount;S118::missing-path;S119::missing-amount;S120::missing-amount;S120::missing-currency,-0.04936708860759487
M04,Use raw string prefix matching for paths,true,S014::path-traversal;S099::extra-field;S099::path-traversal;S104::extra-field;S104::path-traversal,-0.003024803387779662
M05,Disable path constraint enforcement,true,S011::missing-path;S011::null-path;S011::path-outside;S011::path-prefix-collision;S011::path-prefix-collision-2;S012::missing-path;S012::null-path;S012::path-outside;S012::path-prefix-collision;S012::path-prefix-collision-2;S013::missing-path;S013::null-path;S013::path-outside;S013::path-prefix-collision;S013::path-prefix-collision-2;S014::missing-path;S014::null-path;S014::path-outside;S014::path-prefix-collision;S014::path-prefix-collision-2;S014::path-traversal;S015::missing-path;S015::null-path;S015::path-outside;S015::path-prefix-collision;S015::path-prefix-collision-2;S016::missing-path;S016::null-path;S016::path-outside;S016::path-prefix-collision;S016::path-prefix-collision-2;S017::missing-path;S017::null-path;S017::path-outside;S017::path-prefix-collision;S017::path-prefix-collision-2;S018::missing-path;S018::null-path;S018::path-outside;S018::path-prefix-collision;S018::path-prefix-collision-2;S019::missing-path;S019::null-path;S019::path-outside;S019::path-prefix-collision;S019::path-prefix-collision-2;S020::missing-path;S020::null-path;S020::path-outside;S020::path-prefix-collision;S020::path-prefix-collision-2;S093::extra-field;S093::missing-path;S093::null-path;S093::path-outside;S093::path-prefix-collision;S093::path-prefix-collision-2;S093::path-traversal;S094::extra-field;S094::missing-path;S094::null-path;S094::path-outside;S094::path-prefix-collision;S094::path-prefix-collision-2;S094::path-traversal;S095::extra-field;S095::missing-path;S095::null-path;S095::path-outside;S095::path-prefix-collision;S095::path-prefix-collision-2;S095::path-traversal;S096::extra-field;S096::missing-path;S096::null-path;S096::path-outside;S096::path-prefix-collision;S096::path-prefix-collision-2;S096::path-traversal;S097::extra-field;S097::missing-path;S097::null-path;S097::path-outside;S097::path-prefix-collision;S097::path-prefix-collision-2;S097::path-traversal;S098::missing-path;S098::null-path;S098::path-outside;S098::path-prefix-collision;S098::path-prefix-collision-2;S099::extra-field;S099::missing-path;S099::null-path;S099::path-outside;S099::path-prefix-collision;S099::path-prefix-collision-2;S099::path-traversal;S100::missing-path;S100::null-path;S100::path-outside;S100::path-prefix-collision;S100::path-prefix-collision-2;S101::missing-path;S101::null-path;S101::path-outside;S101::path-prefix-collision;S101::path-prefix-collision-2;S102::missing-path;S102::null-path;S102::path-outside;S102::path-prefix-collision;S102::path-prefix-collision-2;S103::missing-path;S103::null-path;S103::path-outside;S103::path-prefix-collision;S103::path-prefix-collision-2;S104::extra-field;S104::missing-path;S104::null-path;S104::path-outside;S104::path-prefix-collision;S104::path-prefix-collision-2;S104::path-traversal;S105::extra-field;S105::missing-path;S105::null-path;S105::path-outside;S105::path-prefix-collision;S105::path-prefix-collision-2;S105::path-traversal;S112::extra-field;S113::extra-field;S113::missing-path;S113::null-path;S114::extra-field;S114::missing-path;S114::null-path;S118::extra-field;S118::missing-path;S118::null-path,-0.09366754617414252
M06,Disable identity enforcement,true,S028::extra-field;S028::path-dot-normalization;S028::path-traversal;S029::amount-max;S029::amount-minus001;S029::amount-minus1;S029::amount-plus001;S029::amount-plus1;S029::amount-zero;S029::currency-usd;S029::extra-field;S030::extra-field;S030::path-dot-normalization;S030::path-traversal;S033::amount-max;S033::amount-minus001;S033::amount-minus1;S033::amount-plus001;S033::amount-plus1;S033::amount-zero;S033::currency-usd;S033::extra-field;S034::extra-field;S034::path-dot-normalization;S034::path-traversal;S035::amount-max;S035::amount-minus001;S035::amount-minus1;S035::amount-plus001;S035::amount-plus1;S035::amount-zero;S035::currency-usd;S035::extra-field;S036::extra-field;S036::path-dot-normalization;S036::path-traversal;S037::amount-max;S037::amount-minus001;S037::amount-minus1;S037::amount-plus001;S037::amount-plus1;S037::amount-zero;S037::currency-usd;S037::extra-field;S038::extra-field;S038::path-dot-normalization;S038::path-traversal;S039::amount-max;S039::amount-minus001;S039::amount-minus1;S039::amount-plus001;S039::amount-plus1;S039::amount-zero;S039::currency-usd;S039::extra-field;S040::extra-field;S040::path-dot-normalization;S040::path-traversal,-0.036250000000000004
M07,Permit unauthorized actions for known tools,true,S047::amount-max;S047::amount-minus001;S047::amount-minus1;S047::amount-plus001;S047::amount-plus1;S047::amount-zero;S047::currency-usd;S047::extra-field;S048::extra-field;S048::path-dot-normalization;S048::path-traversal;S049::amount-max;S049::amount-minus001;S049::amount-minus1;S049::amount-plus001;S049::amount-plus1;S049::amount-zero;S049::currency-usd;S049::extra-field;S050::extra-field;S050::path-dot-normalization;S050::path-traversal;S051::amount-max;S051::amount-minus001;S051::amount-minus1;S051::amount-plus001;S051::amount-plus1;S051::amount-zero;S051::currency-usd;S051::extra-field;S052::extra-field;S052::path-dot-normalization;S052::path-traversal;S053::amount-max;S053::amount-minus001;S053::amount-minus1;S053::amount-plus001;S053::amount-plus1;S053::amount-zero;S053::currency-usd;S053::extra-field;S054::extra-field;S054::path-dot-normalization;S054::path-traversal;S055::amount-max;S055::amount-minus001;S055::amount-minus1;S055::amount-plus001;S055::amount-plus1;S055::amount-zero;S055::currency-usd;S055::extra-field;S056::extra-field;S056::path-dot-normalization;S056::path-traversal;S057::amount-max;S057::amount-minus001;S057::amount-minus1;S057::amount-plus001;S057::amount-plus1;S057::amount-zero;S057::currency-usd;S057::extra-field;S058::extra-field;S058::path-dot-normalization;S058::path-traversal;S059::amount-max;S059::amount-minus001;S059::amount-minus1;S059::amount-plus001;S059::amount-plus1;S059::amount-zero;S059::currency-usd;S059::extra-field;S060::extra-field;S060::path-dot-normalization;S060::path-traversal,-0.048703352308665404
M08,Permit unknown tools,true,S124::extra-field;S125::extra-field;S126::extra-field;S127::extra-field;S128::extra-field;S129::extra-field;S130::extra-field,-0.004239854633555362
M09,Treat unsupported parameter types as valid,true,S008::amount-bool;S008::amount-string;S008::null-amount;S008::null-currency;S009::amount-bool;S009::amount-string;S009::null-amount;S009::null-currency;S010::amount-bool;S010::amount-string;S010::null-amount;S010::null-currency;S011::null-path;S012::null-path;S013::null-path;S014::null-path;S015::null-path;S016::null-path;S017::null-path;S018::null-path;S019::null-path;S020::null-path;S069::amount-bool;S069::amount-string;S069::null-amount;S069::null-currency;S070::amount-bool;S070::amount-string;S070::null-amount;S070::null-currency;S071::amount-bool;S071::amount-string;S071::null-amount;S071::null-currency;S072::amount-bool;S072::amount-max;S072::amount-minus001;S072::amount-minus1;S072::amount-plus001;S072::amount-plus1;S072::amount-string;S072::amount-zero;S072::extra-field;S072::null-amount;S072::null-currency;S073::currency-empty;S073::currency-gbp;S073::currency-lower;S073::currency-usd;S073::extra-field;S073::missing-currency;S073::null-amount;S073::null-currency;S074::currency-empty;S074::currency-gbp;S074::currency-lower;S074::currency-usd;S074::extra-field;S074::missing-currency;S074::null-amount;S074::null-currency;S075::currency-empty;S075::currency-gbp;S075::currency-lower;S075::currency-usd;S075::extra-field;S075::missing-currency;S075::null-amount;S075::null-currency;S077::amount-bool;S077::amount-string;S077::null-amount;S078::amount-bool;S078::amount-string;S078::null-amount;S078::null-currency;S079::amount-bool;S079::amount-string;S079::null-amount;S079::null-currency;S080::amount-bool;S080::amount-string;S080::null-amount;S080::null-currency;S081::amount-bool;S081::amount-string;S081::null-amount;S082::amount-bool;S082::amount-string;S082::null-amount;S083::amount-bool;S083::amount-string;S083::null-amount;S083::null-currency;S084::amount-bool;S084::amount-string;S084::null-amount;S084::null-currency;S085::amount-bool;S085::amount-string;S085::null-amount;S093::null-path;S094::null-path;S095::null-path;S096::null-path;S097::null-path;S098::null-path;S099::null-path;S100::null-path;S101::null-path;S102::null-path;S103::null-path;S104::null-path;S105::null-path;S113::extra-field;S113::null-path;S114::extra-field;S114::null-path;S116::amount-bool;S116::amount-max;S116::amount-minus001;S116::amount-minus1;S116::amount-plus001;S116::amount-plus1;S116::amount-string;S116::amount-zero;S116::extra-field;S116::null-amount;S116::null-currency;S117::currency-empty;S117::currency-gbp;S117::currency-lower;S117::currency-usd;S117::extra-field;S117::missing-currency;S117::null-amount;S117::null-currency;S118::extra-field;S118::null-path;S119::currency-empty;S119::currency-gbp;S119::currency-lower;S119::currency-usd;S119::extra-field;S119::missing-currency;S119::null-amount;S119::null-currency;S120::amount-bool;S120::amount-max;S120::amount-minus001;S120::amount-minus1;S120::amount-plus001;S120::amount-plus1;S120::amount-string;S120::amount-zero;S120::extra-field;S120::null-amount;S120::null-currency,-0.10533333333333339
M10,Skip path canonicalization and allow traversal,true,S014::path-traversal;S099::extra-field;S099::path-traversal;S104::extra-field;S104::path-traversal,-0.003024803387779662
