mode,concurrency,metric,median,mean,std,min,max,ci95_lo,ci95_hi,n
disabled,100,rps,3779.83,3654.34,409.64,3086.61,4020.75,3145.79,4162.89,5
disabled,100,mean_latency_ms,25.53,26.83,3.14,24.1,31.24,22.94,30.72,5
disabled,100,p50_ms,21.31,21.89,1.11,20.76,23.28,20.51,23.28,5
disabled,100,p95_ms,54.82,55.28,10.38,42.44,66.84,42.38,68.17,5
disabled,100,p99_ms,100.59,112.25,43.58,78.01,184.39,58.15,166.36,5
disabled,100,errors,0,0.0,0.0,0,0,0.0,0.0,5
disabled,100,downstream,5000,5000.0,0.0,5000,5000,5000.0,5000.0,5
disabled,100,deny,0,0.0,0.0,0,0,0.0,0.0,5
disabled,500,rps,3808.57,3563.44,778.27,2287.91,4311.23,2597.24,4529.63,5
disabled,500,mean_latency_ms,119.52,137.38,40.51,110.11,207.22,87.09,187.66,5
disabled,500,p50_ms,101.08,109.06,24.04,92.28,151.08,79.22,138.91,5
disabled,500,p95_ms,236.56,373.32,266.41,222.82,842.21,42.57,704.06,5
disabled,500,p99_ms,282.39,503.74,457.95,265.67,1318.69,-64.8,1072.27,5
disabled,500,errors,0,69.2,154.74,0,346,-122.9,261.3,5
disabled,500,downstream,5000,4930.8,154.74,4654,5000,4738.7,5122.9,5
disabled,500,deny,0,0.0,0.0,0,0,0.0,0.0,5
disabled,1000,rps,3999.19,3815.47,1037.92,2053.38,4731.67,2526.93,5104.01,5
disabled,1000,mean_latency_ms,214.96,249.9,108.82,166.74,440.39,114.8,384.99,5
disabled,1000,p50_ms,199.16,219.08,83.36,139.26,360.23,115.59,322.56,5
disabled,1000,p95_ms,370.17,477.79,257.64,340.97,937.04,157.93,797.64,5
disabled,1000,p99_ms,539.06,625.08,301.74,400.68,1151.88,250.48,999.68,5
disabled,1000,errors,0,78.4,175.31,0,392,-139.24,296.04,5
disabled,1000,downstream,5000,4921.6,175.31,4608,5000,4703.96,5139.24,5
disabled,1000,deny,0,0.0,0.0,0,0,0.0,0.0,5
local,100,rps,3139.11,3169.51,282.98,2796.84,3563.88,2818.2,3520.82,5
local,100,mean_latency_ms,31.21,31.01,2.84,27.18,34.84,27.48,34.53,5
local,100,p50_ms,24.68,24.72,2.32,22.41,28.07,21.84,27.6,5
local,100,p95_ms,70.03,72.23,7.52,62.4,81.72,62.89,81.57,5
local,100,p99_ms,94.34,104.0,22.91,76.38,131.75,75.55,132.44,5
local,100,errors,0,0.0,0.0,0,0,0.0,0.0,5
local,100,downstream,5000,5000.0,0.0,5000,5000,5000.0,5000.0,5
